Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.22090353071666E-17,1.06356686790483E-17,0.00653540570447093,0,0,0,0.664982297150257,0.00329856876483954,7.54388718648361E-19,5.0383236756357E-20,0.00329856876483953,4.66545178511237E-19,0.00652792878718117,0,0,0,0,0,0,package://Robot67.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot67.SLDASM/meshes/base_link.STL,,Base-1,Coordinate System1 <Base-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.001425,2.2279E-16,0.21022,0,0,0,2.9332,0.041136,2.0885E-19,0.00016627,0.040993,-4.7403E-17,0.0037366,0,0,0,0,0,0,package://Robot67.SLDASM/meshes/Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robot67.SLDASM/meshes/Link1.STL,,Stand-1,Coordinate System1 <Base-1>,Axis_q1,q1,continuous,0,0,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link2,0.072575,-3.9001E-18,0,0,0,0,0.25536,8.8375E-05,2.5244E-19,6.0839E-20,0.0018664,1.2315E-20,0.0018635,0,0,0,0,0,0,package://Robot67.SLDASM/meshes/Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robot67.SLDASM/meshes/Link2.STL,,Arm-1,Coordinate System3 <Arm-1>,Axis_q2,q2,prismatic,0,0,0,0,0,0,Link1,0,0,1,0,0,0.24,0,,,,,,,,
Link3,0.10777,-8.6534E-07,8.3267E-17,0,0,0,0.10713,1.0277E-05,1.0635E-08,-3.1729E-19,0.00056067,-5.9023E-21,0.00056067,0,0,0,0,0,0,package://Robot67.SLDASM/meshes/Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robot67.SLDASM/meshes/Link3.STL,,hand-2,Coordinate System3 <Arm-1>,Axis_q3,q3,prismatic,0,0,0,0,0,0,Link2,1,0,0,0,0,0.18,0,,,,,,,,
